iter	Passed	Remaining
0	55	55045
1	79	39614
2	103	34312
3	133	33154
4	158	31597
5	177	29405
6	191	27181
7	209	26014
8	227	25005
9	245	24284
10	258	23232
11	272	22460
12	286	21760
13	301	21266
14	320	21021
15	340	20951
16	356	20592
17	370	20190
18	379	19605
19	394	19306
20	407	19014
21	424	18870
22	446	18956
23	462	18788
24	480	18740
25	496	18603
26	514	18525
27	527	18301
28	542	18165
29	556	17987
30	570	17817
31	585	17722
32	594	17429
33	608	17291
34	622	17163
35	636	17046
36	652	16993
37	668	16928
38	681	16793
39	695	16694
40	709	16588
41	723	16496
42	736	16396
43	749	16275
44	764	16226
45	775	16079
46	790	16027
47	804	15951
48	818	15878
49	831	15807
50	846	15744
51	858	15651
52	876	15667
53	889	15585
54	902	15507
55	920	15515
56	937	15513
57	960	15606
58	989	15785
59	1010	15831
60	1027	15810
61	1042	15779
62	1057	15722
63	1072	15683
64	1086	15629
65	1104	15627
66	1120	15600
67	1135	15561
68	1151	15535
69	1169	15534
70	1184	15502
71	1205	15543
72	1221	15508
73	1236	15478
74	1252	15442
75	1266	15392
76	1280	15345
77	1294	15298
78	1309	15268
79	1323	15225
80	1337	15180
81	1350	15123
82	1367	15105
83	1379	15040
84	1397	15044
85	1418	15070
86	1437	15090
87	1454	15070
88	1469	15039
89	1483	15003
90	1496	14951
91	1509	14902
92	1529	14917
93	1543	14881
94	1557	14839
95	1571	14798
96	1583	14744
97	1597	14700
98	1610	14657
99	1624	14616
100	1640	14603
101	1653	14558
102	1668	14528
103	1682	14492
104	1695	14452
105	1708	14412
106	1721	14371
107	1734	14329
108	1751	14317
109	1763	14271
110	1776	14231
111	1791	14202
112	1805	14168
113	1819	14139
114	1833	14106
115	1853	14121
116	1877	14171
117	1894	14157
118	1913	14165
119	1928	14142
120	1944	14125
121	1960	14109
122	1974	14075
123	1989	14051
124	2002	14014
125	2017	13991
126	2030	13960
127	2044	13930
128	2056	13887
129	2075	13887
130	2089	13857
131	2101	13817
132	2114	13784
133	2128	13754
134	2141	13721
135	2155	13694
136	2171	13681
137	2186	13659
138	2200	13631
139	2213	13595
140	2225	13556
141	2238	13528
142	2251	13495
143	2265	13468
144	2279	13441
145	2295	13425
146	2310	13404
147	2335	13447
148	2355	13452
149	2377	13473
150	2403	13510
151	2422	13515
152	2440	13509
153	2458	13505
154	2481	13525
155	2498	13518
156	2513	13496
157	2532	13494
158	2549	13484
159	2566	13472
160	2584	13468
161	2601	13455
162	2614	13423
163	2631	13414
164	2645	13389
165	2658	13355
166	2675	13347
167	2692	13332
168	2707	13313
169	2724	13304
170	2742	13297
171	2758	13278
172	2776	13273
173	2792	13256
174	2825	13317
175	2847	13331
176	2871	13352
177	2892	13357
178	2913	13361
179	2931	13353
180	2951	13355
181	2966	13332
182	2990	13350
183	3007	13336
184	3033	13362
185	3052	13360
186	3116	13548
187	3151	13610
188	3174	13620
189	3215	13710
190	3259	13806
191	3306	13913
192	3322	13894
193	3339	13872
194	3356	13856
195	3373	13840
